dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,mlw_r_single,228.176,0.828,0.805,0.804,6|17|20|25|26|28|30|49|56|62|63|69|71|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,29,mlw_r_single,0.0,0.821,0.802,0.795,6|20|25|26|28|30|49|56|62|63|69|71|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,28,mlw_r_single,0.0,0.822,0.801,0.797,6|20|25|26|28|30|49|56|62|63|69|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,27,mlw_r_single,0.0,0.826,0.811,0.802,6|20|25|26|28|30|49|62|63|69|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,26,mlw_r_single,0.0,0.821,0.804,0.796,6|20|25|26|28|30|49|62|63|69|84|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,25,mlw_r_single,0.0,0.821,0.798,0.796,6|20|25|26|28|30|49|62|63|69|84|105|109|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,24,mlw_r_single,0.0,0.828,0.834,0.804,6|20|25|26|28|30|49|62|63|69|84|109|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,23,mlw_r_single,0.0,0.829,0.829,0.805,6|20|25|26|28|30|49|62|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,22,mlw_r_single,0.0,0.824,0.83,0.8,6|20|25|26|30|49|62|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,21,mlw_r_single,0.0,0.819,0.822,0.793,6|20|25|26|30|49|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,20,mlw_r_single,0.0,0.828,0.831,0.804,6|25|26|30|49|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195,0
indian_pines,19,mlw_r_single,0.0,0.826,0.839,0.802,6|25|26|30|49|63|69|84|116|125|130|132|148|159|180|182|183|188|195,0
indian_pines,18,mlw_r_single,0.0,0.817,0.832,0.791,6|25|26|30|49|63|84|116|125|130|132|148|159|180|182|183|188|195,0
indian_pines,17,mlw_r_single,0.0,0.809,0.821,0.782,6|25|26|30|49|84|116|125|130|132|148|159|180|182|183|188|195,0
indian_pines,16,mlw_r_single,0.0,0.819,0.83,0.793,6|25|26|30|49|84|116|125|130|132|148|159|180|182|188|195,0
indian_pines,15,mlw_r_single,0.0,0.808,0.815,0.78,6|25|26|30|49|84|116|125|130|148|159|180|182|188|195,0
indian_pines,14,mlw_r_single,0.0,0.804,0.814,0.777,6|25|26|30|49|116|125|130|148|159|180|182|188|195,0
indian_pines,13,mlw_r_single,0.0,0.809,0.816,0.782,6|25|26|30|49|116|125|130|159|180|182|188|195,0
indian_pines,12,mlw_r_single,0.0,0.83,0.85,0.806,6|25|26|30|49|116|125|130|159|180|182|188,0
indian_pines,11,mlw_r_single,0.0,0.828,0.838,0.803,6|25|30|49|116|125|130|159|180|182|188,0
indian_pines,10,mlw_r_single,0.0,0.802,0.829,0.773,25|30|49|116|125|130|159|180|182|188,0
indian_pines,9,mlw_r_single,0.0,0.746,0.722,0.709,25|30|116|125|130|159|180|182|188,0
indian_pines,8,mlw_r_single,0.0,0.726,0.674,0.684,25|30|125|130|159|180|182|188,0
indian_pines,7,mlw_r_single,0.0,0.727,0.701,0.686,25|30|125|130|159|180|182,0
indian_pines,6,mlw_r_single,0.0,0.735,0.697,0.695,25|30|125|130|159|182,0
indian_pines,5,mlw_r_single,0.0,0.732,0.698,0.691,25|30|125|130|159,0
indian_pines,30,mlw_r,232.595,0.858,0.807,0.838,6|8|17|21|25|26|28|33|34|35|36|38|43|65|72|74|78|80|88|93|97|116|128|132|146|148|157|169|179|183,0
indian_pines,29,mlw_r,0.0,0.852,0.802,0.832,6|8|17|21|25|26|28|33|34|35|36|38|43|65|72|74|78|80|88|93|97|116|128|132|148|157|169|179|183,0
indian_pines,28,mlw_r,0.0,0.853,0.822,0.833,6|8|17|21|25|26|28|33|34|35|36|38|43|65|72|74|78|80|88|97|116|128|132|148|157|169|179|183,0
indian_pines,27,mlw_r,0.0,0.858,0.821,0.838,6|8|17|21|25|26|28|33|34|35|36|38|43|65|72|74|78|80|88|97|128|132|148|157|169|179|183,0
indian_pines,26,mlw_r,0.0,0.845,0.813,0.824,8|17|21|25|26|28|33|34|35|36|38|43|65|72|74|78|80|88|97|128|132|148|157|169|179|183,0
indian_pines,25,mlw_r,0.0,0.839,0.81,0.816,8|17|21|25|26|28|33|34|35|36|38|43|65|72|74|80|88|97|128|132|148|157|169|179|183,0
indian_pines,24,mlw_r,0.0,0.838,0.807,0.816,8|17|21|25|26|28|33|34|35|36|38|43|72|74|80|88|97|128|132|148|157|169|179|183,0
indian_pines,23,mlw_r,0.0,0.846,0.816,0.825,8|17|21|26|28|33|34|35|36|38|43|72|74|80|88|97|128|132|148|157|169|179|183,0
indian_pines,22,mlw_r,0.0,0.839,0.816,0.816,8|17|21|26|28|33|34|35|36|38|43|72|74|80|88|97|128|132|148|169|179|183,0
indian_pines,21,mlw_r,0.0,0.831,0.808,0.808,8|17|21|26|28|33|34|36|38|43|72|74|80|88|97|128|132|148|169|179|183,0
indian_pines,20,mlw_r,0.0,0.824,0.802,0.8,8|17|21|26|28|33|34|36|38|43|72|74|80|88|128|132|148|169|179|183,0
indian_pines,19,mlw_r,0.0,0.822,0.822,0.798,8|17|21|26|28|34|36|38|43|72|74|80|88|128|132|148|169|179|183,0
indian_pines,18,mlw_r,0.0,0.833,0.829,0.81,8|17|21|26|28|34|36|38|43|72|80|88|128|132|148|169|179|183,0
indian_pines,17,mlw_r,0.0,0.818,0.817,0.793,8|17|21|26|28|34|36|38|43|72|80|88|132|148|169|179|183,0
indian_pines,16,mlw_r,0.0,0.837,0.831,0.814,8|17|21|26|28|36|38|43|72|80|88|132|148|169|179|183,0
indian_pines,15,mlw_r,0.0,0.822,0.809,0.797,8|17|21|26|28|36|38|43|80|88|132|148|169|179|183,0
indian_pines,14,mlw_r,0.0,0.813,0.803,0.786,8|17|21|28|36|38|43|80|88|132|148|169|179|183,0
indian_pines,13,mlw_r,0.0,0.812,0.8,0.786,8|17|21|28|36|43|80|88|132|148|169|179|183,0
indian_pines,12,mlw_r,0.0,0.812,0.807,0.786,8|17|21|28|36|43|80|88|132|148|179|183,0
indian_pines,11,mlw_r,0.0,0.82,0.81,0.795,8|21|28|36|43|80|88|132|148|179|183,0
indian_pines,10,mlw_r,0.0,0.826,0.813,0.802,8|21|36|43|80|88|132|148|179|183,0
indian_pines,9,mlw_r,0.0,0.796,0.781,0.767,21|36|43|80|88|132|148|179|183,0
indian_pines,8,mlw_r,0.0,0.787,0.76,0.757,21|36|43|80|88|148|179|183,0
indian_pines,7,mlw_r,0.0,0.763,0.732,0.729,21|36|80|88|148|179|183,0
